"","share","id","year","RGO","L","K","RI"
"1",-0.196561515331268,10001,81,11.2915079622392,6.23705674608193,8.27731977482645,11.0956650097784
"2",-0.212614789605141,10001,82,11.3146613418745,6.28031228359835,8.45987572310795,11.1013633704571
"3",-0.219912379980087,10001,83,11.3617664904224,6.29138081706691,8.59985608120104,11.140588894996
"4",-0.234265312552452,10001,84,11.1782070332837,6.3657138290129,8.66064092800759,10.9393696839906
"5",-0.2665676176548,10001,85,11.0128103770465,6.20174180702856,8.63359836853916,10.7392672118627
"6",-0.257346540689468,10001,86,10.9318202885033,6.13243723774057,8.63685492995469,10.6652908030801
"7",-0.22748202085495,10001,87,11.0112027498747,6.34426888122975,8.6746899410101,10.7759373331256
"8",-0.258157104253769,10001,88,10.900355248382,6.04708788507401,8.63651818001303,10.635976945779
"9",-0.207456931471825,10001,89,10.8378685088813,6.02223206277373,8.60265586001025,10.6254730847346
"10",-0.221544802188873,10001,90,10.8217166389617,5.89399601862585,8.68634358989759,10.5962527265471
"11",-0.235353738069534,10001,91,10.8224216626057,5.88577438727974,8.68924359278635,10.5845930890414
"12",-0.238695561885834,10002,81,8.37565269080457,2.95062940333297,6.66047065781989,8.13685314810921
"13",-0.186479479074478,10002,82,8.19327170731218,2.94508385657327,6.74091997587105,8.00925499657475
"14",-0.204038038849831,10002,83,8.03366713867168,2.94574636455417,6.68708113405843,7.82633109337796
"15",-0.207907229661942,10002,84,8.04108605171331,2.7793772467829,6.92457620640727,7.83053070144705
"16",-0.204272553324699,10002,85,7.89605103396455,2.36175817930559,7.14614548367349,7.6911625109825
"17",-0.193340569734573,10002,86,7.73867639623245,2.36184806322955,7.58000913144681,7.54559141627197
"18",-0.16997067630291,10002,87,7.59228523750709,2.36190270870625,7.59750429730375,7.4186363943725
"19",-0.193013101816177,10002,88,7.46099735201205,2.44125726278517,7.55430758293925,7.26426485280267
"20",-0.289029479026794,10002,89,7.37764736025858,2.45375237532299,7.51265147844559,7.08246247071819
"21",-0.347612470388412,10002,90,6.66715929061145,2.50541655040297,7.47248811430141,6.30256296939035
"22",-0.288511961698532,10003,81,12.240374052149,6.9304508530862,9.67926859407732,11.9567415170665
"23",-0.266189217567444,10003,82,12.2897381579148,6.84653637203172,9.79248833940081,12.0267339169277
"24",-0.293408095836639,10003,83,12.2784830559892,6.87976525898573,10.0404723746169,11.9894522059798
"25",-0.294438093900681,10003,84,12.2625908327674,6.96351479951661,10.1104561479653,11.9724344717083
"26",-0.380235582590103,10003,85,12.384081596079,6.73594744821846,10.2006751342277,12.0059090176681
"27",-0.516873419284821,10003,86,12.4870774747286,6.72135892757115,10.2890275375646,11.9722789296691
"28",-0.511712193489075,10003,87,12.7205249972606,6.98063004301428,10.5324996722241,12.2119447459524
"29",-0.508138120174408,10003,88,12.7177580870469,7.03624693963155,10.6912158652495,12.2117276414827
"30",-0.599872887134552,10003,89,12.7408356272413,7.00415439870169,10.7243913047819,12.1404557932024
"31",-0.557894587516785,10003,90,12.8349736788738,7.00920568207636,10.7624166146211,12.2782451856752
"32",-0.246342331171036,10003,91,13.0255689842,7.04626569548872,10.8726216814552,12.7799764081882
"33",-0.153430297970772,10004,81,8.3505008133464,3.00019598258354,5.98128488850858,8.19542184762313
"34",-0.140671372413635,10004,82,8.54149129022067,3.26376113496037,6.12216415615284,8.39968771733373
"35",-0.163961037993431,10004,83,8.51567856839118,3.39714037058958,6.18072418364648,8.35203694073488
"36",-0.164115622639656,10004,84,8.42723824632087,3.36531390785352,6.25130523019362,8.26772571717945
"37",-0.187646225094795,10004,85,8.15463174559128,3.35574050783145,6.33062883996258,7.97352687547788
"38",-0.178974717855453,10004,86,8.01956332257623,3.3818607674386,6.39153549418136,7.84431325905975
"39",-0.203806281089783,10004,87,8.44027776642718,3.60814304955645,6.32888216365591,8.23601427648176
"40",-0.232280001044273,10004,88,8.3270006221282,3.38457070164324,6.70481122910873,8.1014488949204
"41",-0.254193872213364,10004,89,8.34318770226728,3.82799434722674,6.81948923116675,8.09088155929047
"42",-0.146191731095314,10004,90,8.2119295350431,3.53882391118276,6.9511976264395,8.07477227792305
"43",-0.131177097558975,10004,91,8.1070735421324,3.32080667596637,6.95608612078932,7.98616818196837
"44",-0.174490869045258,10005,81,9.79511142678502,4.53426754396449,7.73151024053499,9.62116388461653
"45",-0.196589156985283,10005,82,9.78709143308465,4.69575424945742,7.99658566824973,9.58903970924352
"46",-0.187334761023521,10005,83,9.76596797211686,4.72641348237144,8.05323228372352,9.57619707720578
"47",-0.12615379691124,10005,84,9.84295879404458,4.62438854516334,8.1439647195074,9.71279842884453
"48",-0.178951114416122,10005,85,9.84925161043607,4.85556595241102,8.34627384261286,9.66565473104079
"49",-0.188357427716255,10005,86,9.75731318034577,4.8603801303553,8.28606207475694,9.56244357281102
"50",-0.173155590891838,10005,87,9.8896390761593,4.84734906183345,8.36121383863219,9.71186880896584
"51",-0.217844665050507,10005,88,9.86955512080392,5.08759473400015,8.37499060708043,9.64603475684014
"52",-0.209737882018089,10005,89,9.87737004587166,5.03416279652104,8.45019518990153,9.66194642885406
"53",-0.219872355461121,10005,90,9.69944220231257,5.11650675707912,8.59637687638924,9.47175180884953
"54",-0.240224957466125,10005,91,9.73766261273301,5.21895202137235,8.55010696699024,9.49178076439688
"55",-0.18797704577446,10006,81,9.60615239801713,4.27095950450202,7.02346183298499,9.41959122447557
"56",-0.270547538995743,10006,82,9.73111532102553,4.94486576384166,7.16816036890934,9.4612814666879
"57",-0.26445546746254,10006,83,9.53789742817503,4.35276694102284,7.41044412904234,9.27242302960632
"58",-0.23460778594017,10006,84,9.04986335910435,4.05479839226421,7.17255937938143,8.81183206381029
"59",-0.409434825181961,10006,85,9.25147650464988,4.17876153891359,7.17367120284225,8.83919743019795
"60",-0.131256744265556,10006,86,8.95446307333378,3.77478024899319,7.11497506111899,8.81876560077201
"61",-0.168174579739571,10006,87,9.02239604480761,3.62636027538114,7.05247550570095,8.85001437932213
"62",-0.219859138131142,10006,88,9.00993332448155,3.7175523543099,6.9752994942513,8.78491245821663
"63",-0.220232889056206,10006,89,9.06859171618127,3.98437184214228,7.01223438824904,8.84347641914938
"64",-0.284820765256882,10006,90,8.98675550014987,3.99889970181962,7.08696143293125,8.69665601096395
"65",-0.306267648935318,10006,91,8.79878429055778,4.40303388695641,7.01263049623768,8.48890201703553
"66",-0.655328214168549,10007,81,11.3946575266113,6.73675392768536,8.97893900262344,10.7424322629287
"67",-0.655534148216248,10007,82,11.5499000426652,6.87176739125368,9.39795672445748,10.8987800658927
"68",-0.439077258110046,10007,83,11.5223520664982,6.34656954900522,9.59718222736499,11.0854719162437
"69",-0.373573780059814,10007,84,11.560278138111,6.57925765458917,9.70434933024039,11.1911396652342
"70",-0.422193676233292,10007,85,11.7694117305896,6.83601864787331,9.79203232995139,11.3518150100181
"71",-0.480109393596649,10007,86,11.9519034207462,7.03833702844207,10.4520699277612,11.474847180247
"72",-0.373615771532059,10007,87,12.0486060052278,7.32193773285636,10.5349174368916,11.6781068236185
"73",-0.44546315073967,10007,88,12.2132774875846,7.45871097826013,11.0779174699236,11.7691604065346
"74",-0.389697074890137,10007,89,12.1737436175666,6.97120254482196,11.0539562322314,11.7829099605299
"75",-0.233666703104973,10007,90,12.2459442135382,7.54924256579003,11.201383708988,12.0140568447775
"76",-0.267842143774033,10007,91,12.354071966807,7.31032557616528,11.1736372202423,12.0905495542746
"77",-0.141502067446709,10008,81,10.8648663662262,5.11138654004252,9.8097748655916,10.7225191519434
"78",-0.493570953607559,10008,82,11.422962292534,6.10454517821023,9.91679644656444,10.9286521678322
"79",-0.36993607878685,10008,83,11.534211137232,6.18387161446029,9.98648987861903,11.1642226766421
"80",-0.326495707035065,10008,84,11.5035022998283,6.16072768153449,10.1301690566579,11.1785619253589
"81",-0.293448448181152,10008,85,11.5018881365179,6.29770724071348,10.1922638990984,11.2118847704505
"82",-0.312979519367218,10008,86,11.5303955639872,6.24000977740093,10.2334422933344,11.2201854141518
"83",-0.353904545307159,10008,87,11.6654165094357,6.52068728424364,10.3811366849825,11.3167508967626
"84",-0.25613397359848,10008,88,11.7172468606688,6.37998825054001,10.3400459847429,11.4654561819593
"85",-0.288535982370377,10008,89,11.5856572338941,6.5176043754222,10.3040067911165,11.3023702185226
"86",-0.304008573293686,10008,90,11.5183297417744,6.32343754155973,10.2603335560621,11.2209492902104
"87",-0.276229739189148,10008,91,11.5078265500699,6.34346232563466,10.2361568080543,11.2377341200674
"88",-0.143094226717949,10010,81,8.15676834031116,3.53198972964126,6.82141060530015,8.01490096006958
"89",-0.187787815928459,10010,82,8.17081570192973,3.48089635538614,7.16541272049619,7.98355896208118
"90",-0.208866760134697,10010,83,8.13027324235819,3.47319045791006,7.21998129515159,7.92059636592754
"91",-0.247538104653358,10010,84,8.05063642739936,3.36584789386813,7.16673877875921,7.80005274595047
"92",-0.246549993753433,10010,85,7.93407177962195,3.50077909378517,7.11589008070361,7.68167938529184
"93",-0.268869310617447,10010,86,7.88833221134533,3.59159448825441,7.31591889128809,7.6120598929082
"94",-0.249870657920837,10010,87,7.63938296491494,3.57583252842537,7.40429895519501,7.38174433354493
"95",-0.349119573831558,10010,88,7.5903891974457,3.67016757085147,7.42630933535259,7.22994297477196
"96",-0.293901860713959,10010,89,7.56182822980021,3.50391605164691,7.41624142513913,7.25845367083258
"97",-0.264067977666855,10010,90,7.36079414643669,3.39546926104319,7.36152719103242,7.08312544395497
"98",-0.232856720685959,10010,91,7.13775719147251,3.07462477564555,7.28372771059209,6.89700118831092
"99",-0.237481206655502,10011,81,8.24701042930128,3.27111353933111,5.22127909159449,8.02085473078293
"100",-0.562691926956177,10011,82,8.55545265545797,3.90048421576604,8.23739880939147,8.00251959752828
"101",-0.336680591106415,10011,83,9.13888380961152,4.67337329664005,9.08632029942654,8.81254707845696
"102",-0.370178908109665,10011,84,9.34387491400981,4.93044155539191,9.48343576364317,8.98448452755422
"103",-0.486383646726608,10011,85,9.755596860432,5.03026337752747,9.4597337070066,9.30604225417443
"104",-0.41494607925415,10011,86,9.77957194488834,5.03031674131375,9.43097350921116,9.384831218423
"105",-0.337852776050568,10011,87,9.6309713401636,5.42931845723284,9.41558810344334,9.32088818181442
"106",-0.258676528930664,10011,88,9.91040866348393,5.57351826964882,9.3835701867436,9.65785790481478
"107",-0.281486541032791,10011,89,10.0663789663639,5.52438340105758,9.40337613600913,9.7906705956488
"108",-0.223666697740555,10011,90,10.0103661243478,5.69062912736569,9.36915862941827,9.79190895992314
"109",-0.226221114397049,10011,91,10.0854727897602,5.55250301817606,9.34490028822327,9.86234639494683
"110",-0.376732915639877,10012,81,10.0314321522349,5.24264316816981,7.73442362872567,9.65614585864625
"111",-0.283789843320847,10012,82,10.0020249411707,5.15545221407721,8.40177192756815,9.71701936345847
"112",-0.403705209493637,10012,83,10.130677904496,5.1326178508251,8.47573734940996,9.72627573127976
"113",-0.360132724046707,10012,84,10.1929016690551,5.09646006273575,8.57497452860366,9.82967312203042
"114",-0.396401524543762,10012,85,10.1671299961787,5.0677488573934,8.6384350820809,9.77056836087121
"115",-0.396680653095245,10012,86,10.2598661537416,5.21364829814347,8.61887233953884,9.86141823909581
"116",-0.329291373491287,10012,87,10.4581260187744,5.34890158926066,8.85712059881758,10.1280961239342
"117",-0.274740725755692,10012,88,10.476366556369,5.29102444982131,8.92871576235019,10.2012191783704
"118",-0.257202595472336,10012,89,10.494073247884,5.37536402277994,8.98902638378318,10.2363508153305
"119",-0.302715390920639,10012,90,10.6134956911089,5.36321249828682,9.15050359280638,10.3102246377966
"120",-0.312820196151733,10012,91,10.8127808122318,5.62899686097114,9.16837412767417,10.500268048121
"121",-0.111979104578495,10013,81,8.81467208858638,3.07065118030448,7.18463350244606,8.70435247413584
"122",-0.271518468856812,10013,82,8.77772991555451,3.49277201540909,7.46334042408749,8.50676774576078
"123",-0.192954897880554,10013,83,9.00080449842305,4.16431604339166,7.58127836001005,8.80730166348129
"124",-0.250004351139069,10013,84,9.09322242271799,4.00533103244799,7.55501151265002,8.83940873010145
"125",-0.259242862462997,10013,85,8.99054776734648,4.67284067064879,7.82971817492499,8.7260495399786
"126",-0.185905560851097,10013,86,8.94580856477179,4.43635228836472,7.7701945540676,8.75096861727004
"127",-0.073400691151619,10015,82,10.7904394220427,5.12811518774493,8.9456073961225,10.7201911746913
"128",-0.10510129481554,10015,83,10.8131663172027,4.7772998164069,8.8793948369191,10.7114990168094
"129",0.0445516034960747,10015,84,9.59100903723401,4.47633339262864,8.81808928189195,9.64344718241295
"130",0.032106950879097,10015,85,8.69774364949037,4.59122861903048,8.44490723626559,8.74948616507071
"131",0.179877504706383,10015,86,7.3888640853373,4.25553262502353,8.39755369727855,7.63113609471227
"132",0.0323652774095535,10015,87,6.14006514210326,3.39175036943033,8.34194864279607,6.23767722829048
"133",0.172572687268257,10015,88,6.8883241817812,1.89943256778336,8.28718814107009,7.09244798478141
"134",-0.278276562690735,10016,81,8.02790073879198,4.06383830569766,6.42297960173781,7.75542531480213
"135",-0.255956798791885,10016,82,8.19259789775275,3.74471979000304,6.58379578784151,7.93978755436268
"136",-0.337497472763062,10016,83,8.36293895805041,3.68629279861492,6.69611181473641,8.02697585351696
"137",-0.251262605190277,10016,84,8.31508023460683,3.62507755938696,6.60107901212985,8.06808511222955
"138",-0.346188127994537,10016,85,8.43884422271034,4.21088713698462,6.60542122253202,8.09856937625262
"139",-0.259468287229538,10016,86,8.52199045518631,4.34483367228813,7.03388737015058,8.26573794685958
"140",-0.171155288815498,10016,87,9.00777016851232,4.52154166931419,7.07997522496669,8.83839711456015
"141",-0.172282323241234,10016,88,8.93212809775792,4.45392634897395,6.99186808049567,8.76407959041249
"142",-0.189555242657661,10016,89,8.85566078531774,4.3967634557966,6.93121559201631,8.66915906441526
"143",-0.517919480800629,10016,90,8.61389356212769,4.48475715187062,7.57468562225155,8.09853731601261
"144",-0.19645132124424,10016,91,8.56656447390609,4.65659628024265,7.55145707893418,8.37565156575789
"145",-0.0335272513329983,10017,81,9.78098650758412,4.48773011862623,7.54345727578472,9.74996776089664
"146",-0.0914134830236435,10017,82,9.95087252601835,4.36121701172768,7.4779578255559,9.8611302613986
"147",-1.26534259319305,10017,83,7.59352952091089,4.26092637367309,7.86938696697191,6.36546863393254
"148",-0.0653108507394791,10017,84,10.0887155261372,4.26647586260876,7.80044927706353,10.0259454080639
"149",-0.0630188211798668,10017,85,10.1002931442781,4.15010002756647,7.73205021522006,10.0399385680709
"150",-0.0545974671840668,10017,86,9.92918851708703,4.2312880639367,7.66420020574354,9.87732503692525
"151",-0.057723443955183,10017,87,10.2213827470203,4.27678881758366,7.6127263243021,10.1657824786623
"152",-0.0536832325160503,10017,88,10.1824032360652,4.23928405163471,7.8765237499965,10.1303196054569
"153",-0.0403902232646942,10017,89,10.2756035560184,4.23528228784405,7.82841321851997,10.2351711376041
"154",-0.0382044538855553,10017,90,10.274540067849,4.16445487148009,7.80364338719204,10.2368395523938
"155",-0.0394965671002865,10017,91,10.3894523552296,4.32027323295292,7.76093740440326,10.3470129702208
"156",-0.171429753303528,10018,81,10.8039334148484,6.15256158683544,8.05933141006828,10.6339109487658
"157",-0.234935149550438,10018,82,10.8270468045999,5.75165291029442,8.46112319009558,10.5913965258937
"158",-0.300966709852219,10018,83,10.6533215568052,5.29417963703173,9.20767960872059,10.353585758675
"159",-0.372554391622543,10018,84,10.8023780877153,5.35145083612844,9.13781493601375,10.4331795888316
"160",-0.230266034603119,10018,85,10.8940822976146,5.40666748846619,9.12067088437272,10.6655985677031
"161",-0.385044783353806,10018,86,10.6943515494273,5.70502945889236,9.0662847081566,10.3095667298777
"162",-0.0626108422875404,10018,87,10.7065367078092,5.80677091647475,8.98525903127434,10.6445258697494
"163",-0.187914907932281,10018,88,10.7043199956066,5.63465041152802,8.90561896409941,10.5185765864535
"164",-0.172946035861969,10018,89,10.5733367188902,5.63221321933949,8.8386698347238,10.4045350571822
"165",-0.186500310897827,10018,90,10.4733414879284,5.3548220412887,8.83262894973732,10.2885760170698
"166",-0.181025877594948,10018,91,10.3515232504803,5.3372517897102,8.87312134290301,10.1746916864637
"167",-0.267643421888351,10019,81,10.7183588639522,5.39818355267728,9.67918023837505,10.4681127589643
"168",-0.416305661201477,10019,82,10.8877435447524,5.61106035325671,9.68056565634211,10.4635390714199
"169",-0.397085756063461,10019,83,10.9793126159859,5.6213537541783,9.67773378604892,10.5794836069929
"170",-0.252895325422287,10019,84,10.8884972642257,5.54036191284124,9.74894978608176,10.6341534653478
"171",-0.190889537334442,10019,85,10.8259687712466,5.13138809099042,9.72455851588267,10.6390299581899
"172",-0.199656844139099,10019,86,10.8129382257046,5.14956699070125,9.69168472487,10.619614370235
"173",-0.119569905102253,10019,87,10.9065787081613,5.12619562845302,9.7125308512147,10.7754705668622
"174",-0.18469811975956,10019,88,10.9440172412447,5.36758516361839,9.67794953521241,10.7509001942821
"175",-0.150729030370712,10019,89,10.9059027968977,5.33082306481445,9.64364962543934,10.7515542300309
"176",-0.20172692835331,10019,90,10.8985751682906,5.5535767248401,9.66195737044103,10.6937524048227
"177",-0.198495790362358,10019,91,11.0863123288263,6.13945846501245,9.6520511441597,10.8847665335066
"178",-0.171850249171257,10020,81,7.48666935169641,2.882532425162,3.173264151913,7.31890075640453
"179",-0.193881005048752,10020,82,7.40538004220141,2.88506896303132,3.08707798388041,7.21208973671042
"180",-0.233327567577362,10020,83,7.34089120460439,2.94524837120832,3.21278346680538,7.10185483790028
"181",-0.248295426368713,10020,84,7.33651037138622,2.96343026647788,3.59721464137875,7.08269891669945
"182",-0.449264049530029,10020,85,6.77247032689105,2.78862928739751,3.63533436035617,6.31564514560277
"183",-0.342340737581253,10020,86,6.77992669317192,2.78492003855774,3.72877957608633,6.4333580275235
"184",-0.351064383983612,10020,87,6.6759127307268,2.78914122478555,3.79829509493356,6.31846331909413
"185",-0.481088250875473,10020,88,6.32260172886125,2.71555718812052,3.80464638340781,5.8345142621401
"186",-0.415770918130875,10020,89,6.25083619777064,2.71521271374978,4.07775156127492,5.83541216292922
"187",-1.13713049888611,10020,90,5.08780437942326,2.20856407895916,3.982379672272,3.95043071094356
"188",-0.559323608875275,10020,91,5.89689342823728,2.21734487108124,4.01035630154869,5.33752164702423
"189",-0.0197727754712105,10021,81,10.307491567726,4.74670170908611,7.69796392366692,10.2878820305535
"190",-0.0853198394179344,10021,82,10.4362165366891,4.28150573042932,8.47774496800946,10.3512538730821
"191",-0.0218811761587858,10021,83,10.3595216856506,4.3849865556602,8.13286060772338,10.3365416716729
"192",-0.0810416713356972,10021,84,10.3793187121518,4.69108578868265,8.19381714828759,10.2967729285532
"193",-0.0957282185554504,10021,85,10.107930456651,4.18257148457104,8.21851481288446,10.0101690897918
"194",-0.0200725384056568,10022,81,10.3791097673408,4.84570148536045,7.83700783370739,10.3593442204664
"195",-0.0159428045153618,10022,82,10.449469865744,4.99507148524357,7.81754258513328,10.4340373308503
"196",-0.0268357656896114,10022,83,10.495238787371,5.20328842770934,7.81403828773122,10.4678629775495
"197",-0.0727618858218193,10022,84,10.5272275040115,5.15691291693848,7.81566863561893,10.4543116818484
"198",-0.0511810071766376,10022,85,10.2569846595267,4.05643673299387,7.79168442315047,10.2083804313426
"199",-0.125537037849426,10022,86,10.0171032362757,4.28616806577747,7.75217630715019,9.89358536700833
"200",-0.137535288929939,10022,87,10.1677439560674,4.32977539258724,7.70768719245446,10.0310031079228
"201",-0.161361485719681,10022,88,10.1143388312286,4.32991535558519,7.71199410387084,9.95305280687056
"202",-0.143608033657074,10022,89,10.1411797570867,3.98234461411403,7.73767207270481,9.9968820135793
"203",-0.188895955681801,10022,90,10.1616028691015,3.95856119966423,7.72544019154923,9.9714674110987
"204",-0.205123066902161,10022,91,10.2926579242794,4.15287936017973,7.71831140179675,10.1052434632715
"205",-0.565905451774597,10023,81,8.86127922651456,3.63458823734533,8.16953128841165,8.31305023112422
"206",-0.46928995847702,10023,82,8.86427282340873,4.34157128057569,8.31561934843877,8.40179867061472
"207",-0.446587532758713,10023,83,8.89965391927066,4.37679149295144,8.27349479758986,8.4626689429819
"208",-0.429851531982422,10023,84,8.67261340544561,4.19141361928417,8.36340818365509,8.27905484338206
"209",-0.438279271125793,10023,85,8.37898099483012,3.42920025655252,8.3638111614145,7.99273915117297
"210",-0.419836223125458,10023,86,8.76262043485884,4.25838056446328,8.42145356394371,8.36270659905689
"211",-0.328627794981003,10023,87,9.18318092530566,4.26886149495253,8.37324342985438,8.86098158229468
"212",-0.171419143676758,10025,81,10.8764799272796,5.12838650054239,8.6537466974227,10.7062335007557
